用户,用户ID,评论内容,点赞数,评论时间,IP属地
媇舊,9270490544,"玫瑰不用长高，晚霞自会俯腰，爱意随风奔跑，温柔漫过山腰

自由散漫的凉风能治愈乱糟糟的坏心情

在感受，在记录，在珍惜，等时间嘉许，等春风得意

做幸福的亲历者，爱意是有征兆的

踏遍青山人未老，风景这边独好",0,2025-06-08 09:24:13.152,江西
媇舊,9270490544,"破镜重圆是美梦成真还是旧事重演.

相遇总有原因 不是恩赐就是教训

明朝明朝待明朝，只愿卿卿意逍遥。

像救赎的光，又像坠落的尘埃

我惊艳不了任何人，也不需要惊艳任何人",0,2025-06-08 09:23:24.900,江西
整个海湾都是我的XXL,1774441124,会的,0,2025-06-08 09:16:20.422,重庆
我们早就见过,9078980488,接,0,2025-06-08 09:14:00.999,安徽
铃风_5201,12683817813,"沿着两条虚线对着滑 有惊喜
-- -- -- -- -- --＞         ＜-- -- -- -- -- --",0,2025-06-08 09:09:13.240,湖南
时间会让你离开,9699720837,加油,0,2025-06-08 09:05:55.555,河北
你就是是我baby,1477947081,"时间可以磨去我的棱角
有些坚持却永远磨不掉",1,2025-06-08 09:00:38.558,湖南
你就是是我baby,1477947081,谢谢啊嘻嘻嘻,0,2025-06-08 08:59:40.512,湖南
你就是是我baby,1477947081,加油哇唔哇唔,0,2025-06-08 08:59:28.334,湖南
你就是是我baby,1477947081,晚上在干嘛[多多可怜],0,2025-06-08 08:59:20.747,湖南
你就是是我baby,1477947081,好好好啊,0,2025-06-08 08:58:52.706,湖南
你就是是我baby,1477947081,我看看[多多可怜],0,2025-06-08 08:58:32.499,湖南
你就是是我baby,1477947081,小猫咪好喜欢吃鱼,0,2025-06-08 08:58:15.208,湖南
你就是是我baby,1477947081,"用起伏的背影挡住哭泣的心
有些故事不必说给每个人听
许多眼睛看的太浅太近
错过我没被看见那个自己",1,2025-06-08 08:53:34.536,湖南
你就是是我baby,1477947081,"用简单的言语解开超载的心
有些情绪是该说给懂的人听
你的热泪比我激动怜惜
我发誓要更努力更有勇气",1,2025-06-08 08:53:17.738,湖南
你就是是我baby,1477947081,"等下一个天亮
把偷拍我看海的照片送我好吗
我喜欢我飞舞的头发
和飘着雨还是眺望的眼光",1,2025-06-08 08:52:34.316,湖南
你就是是我baby,1477947081,"去上次牵手赏花那里散步好吗
有些积雪会自己融化
你的肩膀是我豁达的天堂",2,2025-06-08 08:51:22.720,湖南
你就是是我baby,1477947081,请容许我小小的骄傲，因为有你这样的依靠。等下一个天亮,1,2025-06-08 08:50:35.573,湖南
雾蕴i,9036863674,遇见你就像小猫的世界下起了小鱼雨.,0,2025-06-08 08:46:18.393,江西
用户3900468265,3900468265,"爸爸：如果有人欺负你，你就拿铲子打他
女儿：可我是女生
爸爸：那就用粉色的铲子",1,2025-06-08 08:44:16.104,江苏
抚慰爱,13215629790,今天化了美美的妆~,0,2025-06-08 08:37:59.207,河北
江忍R7,8935089826,6.13中考顺利,3,2025-06-08 08:37:30.759,山东
时间会抹去有他的记忆,13138627908,广西天气好不好 你好不好 滚好不好,1,2025-06-08 08:32:56.391,广西
泪涸q,7814115368,我许愿成为世界大王让女孩子不再流泪૮ ººა,1,2025-06-08 08:30:23.101,辽宁
在意122520,8552561489,上岸！,0,2025-06-08 08:29:31.288,湖南
在意122520,8552561489,啊啊，我也抱抱你,0,2025-06-08 08:28:56.036,湖南
极品豪门城少,1366236290,素颜的前奏啊[大哭],0,2025-06-08 08:28:46.705,广东
在意122520,8552561489,拍拍,0,2025-06-08 08:27:39.808,湖南
卖完萌,13549240965,静静等待,1,2025-06-08 08:27:32.244,江苏
在意122520,8552561489,回到我们才遇见的时候了,0,2025-06-08 08:27:02.074,湖南
宅界少主怡,8031870512,那是一个安静的晚上,1,2025-06-08 08:26:16.350,北京
不要再失眠了Z-,498784730,加油,0,2025-06-08 08:25:58.596,福建
甜萌云,12275152674,？。。,0,2025-06-08 08:23:42.944,江苏
Allen_liu091022,7995791257,很快中考了，祝我上岸,0,2025-06-08 08:22:46.315,广东
Allen_liu091022,7995791257,高考加油,0,2025-06-08 08:22:18.484,广东
雨-直下-,515768465,正在听的拍拍我～,1,2025-06-08 08:22:05.619,浙江
极品豪门城少,1366236290,nonono balabalababa,0,2025-06-08 08:19:59.935,广东
Relyoqi,6458157414,太甜啦,0,2025-06-08 08:19:05.318,湖北
_-北冰洋,12233611174,六月听素颜的永远幸福。,1,2025-06-08 08:14:30.434,广东
冰雹雨冰上划船柿子汁,9695653686,接,0,2025-06-08 08:11:05.252,广东
神颜纬航,12577446656,99,0,2025-06-08 08:06:00.560,河南
神颜纬航,12577446656,加油,0,2025-06-08 08:05:33.386,河南
你就是是我baby,1477947081,哦哦[多多可怜],0,2025-06-08 07:38:51.702,湖南
你就是是我baby,1477947081,啊哈哈哈哈嗝,0,2025-06-08 07:38:42.268,湖南
六角星_a,13608056792,"花也会凋谢 人总要学会和不属于自己的东西告别.

很多时候我也觉得是自己在耽误你

假装看不见却用余光看你千万遍

没事这个词当我说出口都是泪

为了见到你 我想了很多方法

虽然上学很累但是学校有你",0,2025-06-08 07:38:41.426,广东
你就是是我baby,1477947081,哈哈哈哈太好笑了,0,2025-06-08 07:38:12.169,湖南
六角星_a,13608056792,"我试着去翻动回忆却找不回原来的我们

人与人之间 吐露真心本就是一场赌注.

一切错误的源头好像都是因我而造成的，好累

讨厌眼泪滑落眼角的感觉 也恨自己每次都要哭

远的从不是距离  是心

为什么非要我发信息 才肯和我聊天.",0,2025-06-08 07:37:53.048,广东
你就是是我baby,1477947081,哦哦哦好叭,0,2025-06-08 07:37:51.698,湖南
你就是是我baby,1477947081,哈哈哈真的啊,0,2025-06-08 07:37:40.035,湖南
六角星_a,13608056792,"duo ai zi ji 听懂了吗？

幸福感不够 就会疯狂怀念以前.

恋人我一直给你留着 我等你回来

我反复回忆曾经的画面但我忘了人总是变的

不是说心疼我吗？怎么你也说难听的话.

真诚待人很难吗不喜欢为什么不说",0,2025-06-08 07:37:03.717,广东
泪痣那咋了,1978429181,接,0,2025-06-08 07:32:51.424,山东
in7__alive,3816305424,2010,0,2025-06-08 07:22:18.863,内蒙古
Aihanky,9046435848,[惊恐],0,2025-06-08 07:19:44.467,江苏
小七之旅,5164423890,这首歌是什么时候发布的呀,0,2025-06-08 07:16:59.810,湖北
Fs范先森,8798922047,点赞，包赢,0,2025-06-08 07:11:32.674,河北
呆萌软羊,13576987910,99,0,2025-06-08 07:09:43.878,广东
呆萌软羊,13576987910,高考加油,0,2025-06-08 07:09:32.329,广东
呆萌软羊,13576987910,接,0,2025-06-08 07:09:11.682,广东
Relyoqi,6458157414,听完感觉恋爱了,1,2025-06-08 07:08:02.079,湖北
万人雷又咋了太中都断层美帝了,2140514854,哈哈你也要加油！[蛋仔喜欢],0,2025-06-08 07:00:23.617,辽宁
万人雷又咋了太中都断层美帝了,2140514854,"coke：老板结账
老板：188
coke：遭了，忘带钱了
老板：那怎么办
coke：我用颜值支付吧
老板：抱歉我们没有卖店的打算",0,2025-06-08 06:59:46.035,辽宁
牢景还牢啊,7891400111,最后两个星期中考，大家加油[逢考必过],1,2025-06-08 06:55:47.223,浙江
呆迷雯,8902200557,谁能莫名其妙给我点赞啊,0,2025-06-08 06:54:32.166,湖北
呆迷雯,8902200557,借你吉言,1,2025-06-08 06:53:58.786,湖北
繁星塑梦,1781513489,当时素面朝天要多纯洁就有多纯洁,0,2025-06-08 06:50:33.761,浙江
kiki阿秋,1704856128,七八年吧,0,2025-06-08 06:49:03.583,山东
淤楠_,8909894540,高考加油👏,0,2025-06-08 06:47:38.478,四川
他总过分可爱,12519728204,只要多暗恋，总有能互相喜欢的～只要多暗恋，总有能互相喜欢的～只要多暗恋，总有能互相喜欢的～只要多暗恋，总有能互相喜欢的～只要多暗恋，总有能互相喜欢的～只要多暗恋，总有能互相喜欢的～只要多暗恋，总有能互相喜欢的～只要多暗恋，总有能互相喜欢的～只要多暗恋，总有能互相喜欢的～只要多暗恋,0,2025-06-08 06:46:56.114,黑龙江
id至此不见佳人面,12539489720,接,0,2025-06-08 06:42:20.452,吉林
你说过她像我,8560131028,不处[口罩][口罩],0,2025-06-08 06:39:34.919,浙江
第127天,9612934013,好甜 谁谈 不对说错了 谁听歌 周五周六周日关注看得到,1,2025-06-08 06:30:27.894,河南
作业太多了啊啊啊,8777700587,加油加油[多多大笑],0,2025-06-08 06:29:46.593,广东
sxy恋娟,9177926646,接,0,2025-06-08 06:28:41.071,安徽
许我一簪喜林草,5069436009,接,0,2025-06-08 06:05:50.186,吉林
素小碎碎,12256149341,原创妹驾到,0,2025-06-08 06:04:02.096,山东
素小碎碎,12256149341,原创妹驾到,0,2025-06-08 06:04:00.202,山东
壹吝,5150998180,99哦,0,2025-06-08 05:57:47.836,江苏
Picasso-_-lee,1419617036,哈哈哈笑死在评论区,0,2025-06-08 05:53:28.053,广西
1_你礼貌吗,3370601245,2:35那段真的超好听,1,2025-06-08 05:52:39.947,湖北
望仔_fTTa,13362019472,距离中考还剩9天,0,2025-06-08 05:50:24.106,江西
心烦总易泪,9085549397,我曾经也有过让人羡慕的爱情,0,2025-06-08 05:48:23.588,河北
你就是是我baby,1477947081,嗯嗯会的[多多大笑],0,2025-06-08 05:48:03.401,湖南
love-爱z,9081221299,听《素颜》的要幸福哇,1,2025-06-08 05:42:37.042,福建
爱吸烟的猫1901,1728090215,加油,0,2025-06-08 05:39:21.142,安徽
小栖nb666,8533574968,穿搭,0,2025-06-08 05:33:54.569,四川
你就是是我baby,1477947081,英文啥意思😳,0,2025-06-08 05:33:42.692,湖南
老攻牌酸奶,3326134010,加油,0,2025-06-08 05:30:45.207,浙江
小栖nb666,8533574968,cleanfit可不可以和我交朋友🥹,1,2025-06-08 05:30:37.924,四川
明天会更meng,13607648861,高考加油,0,2025-06-08 05:27:35.910,湖南
Angel_Wooszz,13437260780,会加油！,0,2025-06-08 05:26:04.150,贵州
冰纯吻,12456484439,加油,0,2025-06-08 05:22:02.623,广东
中考必胜呀大家,13390238552,最最最最最最最后的日子啦，要解放了！祝学姐学长们高考顺利[爱心],0,2025-06-08 05:20:06.678,湖南
电子猫猫头,12469676167,接,0,2025-06-08 05:12:03.113,湖北
你就是是我baby,1477947081,哈哈哈那好那好,0,2025-06-08 05:07:19.829,湖南
你就是是我baby,1477947081,emmm有吗,0,2025-06-08 05:06:45.455,湖南
你就是是我baby,1477947081,啊好可惜呀,0,2025-06-08 05:06:18.950,湖南
你就是是我baby,1477947081,啊哦啊哦,0,2025-06-08 05:06:01.011,湖南
我才不苯呢,6292118182,记得刚进入初中 还觉得三年很长 转眼就快要分别 我才意识到 毕业以后 我连你的背影都看不到了,1,2025-06-08 04:59:23.423,广西
我才不苯呢,6292118182,金榜题名[逢考必过],0,2025-06-08 04:59:04.902,广西
我才不苯呢,6292118182,金榜题名[逢考必过],0,2025-06-08 04:58:55.461,广西
林-澈,8909311778,中考顺利！[逢考必过][100分],4,2025-06-08 04:57:16.328,江西
-此_方-,8745183753,真的吗,0,2025-06-08 04:54:56.004,安徽
粉恁,12213598387,好🥺,0,2025-06-08 04:53:45.331,河南
我钟意伱阿,10019692191,加油,0,2025-06-08 04:46:40.041,湖南
Lio1_F4tZ,8239165550,能不能祝我中考大捷[跳舞],0,2025-06-08 04:46:37.671,河南
我钟意伱阿,10019692191,加油,0,2025-06-08 04:46:35.512,湖南
你吃锅巴吗_,12167877656,"嘘🤫我在等一批2025年6月份的人
",1,2025-06-08 04:42:07.559,河北
07-念念L,13566106138,过了今年的6月我连看你的机会都没有了,1,2025-06-08 04:39:31.504,江西
07-念念L,13566106138,我今年的6月我连看你的机会都没有了,0,2025-06-08 04:39:19.221,江西
愿眠快乐常伴,9328131724,@与糕幸福常在 ,0,2025-06-08 04:38:08.706,广西
最爱豫豫G,13191712082,"蓄谋已久 得偿所愿.
你明明可以左右我的情绪 为什么不能让我开心点.
怕你喜欢上别人 又怕你被别人喜欢 我自私想让你的眼里只有我.
我不想看到你爱人的样子 因为你曾经最爱我.
我好想你 不止今天 我好爱你 不止一年.",0,2025-06-08 04:23:43.066,浙江
你就是是我baby,1477947081,emmm,0,2025-06-08 03:50:21.587,湖南
你就是是我baby,1477947081,加油考个好成绩,0,2025-06-08 03:49:59.004,湖南
你就是是我baby,1477947081,那好吧,0,2025-06-08 03:49:41.383,湖南
你就是是我baby,1477947081,啊那是以前那都十几年了吧,0,2025-06-08 03:49:10.560,湖南
你就是是我baby,1477947081,你会幸福的[多多大笑],0,2025-06-08 03:48:34.143,湖南
你就是是我baby,1477947081,我好想看到过咋回事不知道有没有,1,2025-06-08 03:48:05.446,湖南
死了两天了,12162942756,接,0,2025-06-08 03:45:33.568,河北
Hello潇亓,9203657210,不是我变了而是你从未了解过我,0,2025-06-08 03:38:52.839,福建
kiki阿秋,1704856128,我只记得我小学的时候许嵩不长这样。,0,2025-06-08 03:37:34.182,山东
Hateoneselfnaive,13011075018,谢谢你,0,2025-06-08 03:37:33.521,河南
总有暗香来,13396460281,我爱你,0,2025-06-08 03:36:54.074,安徽
幸福降临我身_Y,13579486114,"     可是小狗从不骗人

思念是返潮的明信片

你说：好city 啊~

希望我的眼睛一直在笑

喜欢你的奇奇怪怪

你额头前的小碎发

暧昧也爱格局也是局",1,2025-06-08 03:36:17.351,湖南
粉恁,12213598387,再听一遍 我会幸福的 永远,0,2025-06-08 03:36:03.885,河南
你渔天下第一,12252976499,加油👏🏿,0,2025-06-08 03:26:45.498,北京
